item,participants,intervals,SD_obs,SD_null_median,null_q025,null_q975,p
fatigue,41,41,0.13865945390440595,0.1395427375763815,0.11330037664204207,0.16758699604769833,0.5329341317365269
moodswing,41,41,0.13012280513847305,0.14682516351818,0.11822854536071115,0.17699972494314967,0.8802395209580839
