outcome,participants,SD_obs,null_SD_median,p,median_merged_rows_per_person
fatigue,41,0.15824575153961892,0.1410928882514066,0.1317365269461078,91.0
resting heart rate,41,0.16419461158179843,0.14971388002472244,0.1656686626746507,113.0
skin temperature,40,0.17818185459333633,0.14862020938920562,0.023952095808383235,137.5
