schedule,obs_per_cycle,worst_fidelity,median_fidelity,worst_sign_accuracy,worst_rmse,min_mean_observed
adaptive,3,0.3400777004768169,0.3956470699995954,0.6388272260844239,0.8622587582148276,4.49651282051282
adaptive,4,0.3051633276226782,0.4266224513079854,0.6225897435897436,0.8623108230281977,5.995641025641025
adaptive,5,0.4479052956728152,0.5289909442108356,0.6840916402232191,0.7883875164213825,7.4856410256410255
adaptive,6,0.4471659911077426,0.5480994006548554,0.6766923076923076,0.7913936725600988,8.992948717948718
adaptive,7,0.5552664942825078,0.5848913910729356,0.7252564102564102,0.7398537826281608,10.0
adaptive,8,0.4655437872122443,0.5862888130965476,0.6869230769230769,0.7889500368919554,11.997846153846154
adaptive,9,0.5738372781361417,0.6433341585091076,0.7372051282051283,0.7362351283227572,13.492307692307692
adaptive,10,0.5864497252768303,0.660294611179311,0.7391025641025641,0.7347536676259031,14.0
phase_targeted,3,0.3601784161585527,0.4742421988390363,0.6433333333333333,0.8718973711756917,4.0
phase_targeted,4,0.3825301086423761,0.526839369310161,0.6518205128205128,0.8298528811185135,5.995641025641025
phase_targeted,5,0.4080419330547906,0.5578584402421968,0.6586410256410257,0.8115201102104517,7.4856410256410255
phase_targeted,6,0.4993374245687164,0.5967143166433637,0.6948717948717948,0.7722866115666577,8.992948717948718
phase_targeted,7,0.4122919035144753,0.6071371633808058,0.660923076923077,0.8087836286607112,10.0
phase_targeted,8,0.5797679630050292,0.6485896196802441,0.7366410256410256,0.726368359497843,10.0
phase_targeted,9,0.5145134428649712,0.6475632090356327,0.7029743589743589,0.774083613666182,13.492307692307692
phase_targeted,10,0.59504340216907,0.6725056788093728,0.738051282051282,0.7408151065785432,14.991153846153846
uniform,3,0.341535919060657,0.49101641310327665,0.6396912800146587,0.8624697935103677,2.0
uniform,4,0.2525004257716919,0.356412073117318,0.597519617319153,0.8919411801334243,5.995641025641025
uniform,5,0.0069632725323767,0.5518711098533687,0.505,1.0519363354899929,4.0
uniform,6,0.4470938662949,0.5467550311002976,0.6727948717948719,0.7939781902130282,8.0
uniform,7,0.373591370176681,0.6040825811784865,0.644025641025641,0.8270223711730961,8.0
uniform,8,0.5560362606705701,0.6341184927259395,0.7229230769230769,0.742793290777508,10.0
uniform,9,0.4323405338215136,0.6406632013102848,0.6656923076923076,0.8045712018924999,12.0
uniform,10,0.5754704357717548,0.6596098810642747,0.7310769230769231,0.743905049344398,14.0
