outcome,participants,intervals,SD_obs,SD_null_median,null_q025,null_q975,p,median_abs_r
fatigue,41,41,0.138659453904406,0.13954273757638147,0.11330037664204207,0.16758699604769833,0.5329341317365269,0.08486497211024879
resting heart rate,41,61,0.21610181318702723,0.19504089733404778,0.15544936234957804,0.2355290867174727,0.15568862275449102,0.1635760430206762
skin temperature,40,59,0.11550642786676213,0.13244072958187422,0.10339643611624498,0.16254155986973412,0.874251497005988,0.07868166429774737
