item,class,participants,intervals,participant_balanced_r,pooled_within_r,g_participant_balanced,g_pooled
fatigue,BALANCED (confirmatory),41,41,0.016640395883023594,0.0061771914225132885,0.033285400494996155,0.012354618559151608
moodswing,BALANCED (confirmatory),41,41,-0.02217251478238028,-0.028546273086555107,0.04435593404642204,0.057115822463899193
cramps,DIRECTIONAL,41,41,-0.07589304393709434,-0.07289665891581065,0.15222511055647311,0.14618223575348768
bloating,DIRECTIONAL,41,41,-0.03142757395846307,-0.02681299497004534,0.06288621170602617,0.05364527718654708
sorebreasts,DIRECTIONAL,41,41,-0.055465835984049354,-0.049647828502181454,0.11110270506983122,0.09941826098031782
sleepissue,AMBIGUOUS (exploratory),41,41,0.04045125955109891,0.036034884526527186,0.08096879101802712,0.07211660643471182
stress,AMBIGUOUS (exploratory),41,41,0.03733458125629047,0.02464967700397751,0.07472125656672962,0.04931433814249865
appetite,AMBIGUOUS (exploratory),41,41,0.022906526575078336,0.029717901557317277,0.04582507714191613,0.0594620659854418
foodcravings,AMBIGUOUS (exploratory),41,41,-0.0037732863445773643,0.0011804290472441448,0.0075466264126090475,0.0023608597393148766
