item,abs_pooled_within_r_E3G,phase_eta2_on_within_episode_z,menstrual_mean_z
fatigue,0.007943041543843884,0.008190268741194247,0.1721176945307705
moodswing,0.021033554459633102,0.016568393385892253,0.2443211711902426
cramps,0.07815594153736806,0.1743926154108423,0.8356445566260847
bloating,0.026986884731989957,0.039020050102258674,0.3808215484078093
sorebreasts,0.05638414214971502,0.06423030353756969,0.43605822113850773
