fidelity,fidelity_sd,fidelity_mcse,fidelity_nvalid,rmse,rmse_sd,rmse_mcse,rmse_nvalid,bias,bias_sd,bias_mcse,bias_nvalid,icc,icc_sd,icc_mcse,icc_nvalid,sign_accuracy,sign_accuracy_sd,sign_accuracy_mcse,sign_accuracy_nvalid,replications,obs_per_cycle,planned_total_obs,schedule,peak_sigma_days,missingness,mean_observed,median_e2_range,seed
0.4270712163654718,0.1353818602817118,0.0042811503236089,1000,0.8018465066116407,0.0684509869653165,0.0021646102689689,1000,-0.0087707642968596,0.129476097363244,0.0040943937021757,1000,0.3566481835464618,0.1163281720029205,0.0036786197957306,1000,0.6743076923076923,0.0747896621151982,0.0023650567771843,1000,1000,3,6,adaptive,0.0,none,6.0,0.527859238254021,26083106
0.4446999936064967,0.1364754332115525,0.0043157321360669,1000,0.7881327980274742,0.0619868386628884,0.0019601959512811,1000,0.0241163317352152,0.1241232919146133,0.0039251231312814,1000,0.3421786177692433,0.1103644900777297,0.0034900316144867,1000,0.6808717948717948,0.0757770086589615,0.0023962794163662,1000,1000,4,8,adaptive,0.0,none,8.0,0.4822656465619471,26083107
0.5167417415840496,0.1186810492264274,0.0037530243065407,1000,0.7576054292698426,0.0539800248043426,0.001706998265341,1000,0.0240994885256858,0.1209208105556742,0.0038238517786966,1000,0.3784562744037538,0.0934915804478072,0.0029564633626393,1000,0.7085897435897437,0.0729028915536474,0.0023053918532177,1000,1000,5,10,adaptive,0.0,none,10.0,0.6889174151267408,26083108
0.5511958591854689,0.1114179582680998,0.0035233452037278,1000,0.7479495745039642,0.0488335480489527,0.0015442523806196,1000,0.0384089922789181,0.117126210974414,0.0037038560038455,1000,0.3834875796690434,0.0867633414019726,0.0027436977623702,1000,0.7244358974358974,0.0727095219161346,0.0022992769683691,1000,1000,6,12,adaptive,0.0,none,12.0,0.6433238234346668,26083109
0.6188154775564843,0.0968345177448999,0.0030621763219787,1000,0.7186062080365105,0.0463565096336989,0.0014659215481802,1000,0.0141894077743699,0.1163245973788232,0.0036785067561913,1000,0.4252339026107558,0.0791074036384118,0.0025015957527967,1000,0.7553846153846154,0.0677786327354094,0.0021433485613594,1000,1000,7,14,adaptive,0.0,none,14.0,0.6889174151267408,26083110
0.5566685710721013,0.1057819195191218,0.0033451180094504,1000,0.7560313010436043,0.0428903425992076,0.0013563117223844,1000,0.0447018357918279,0.1141709607407773,0.0036104027859052,1000,0.3503078241375409,0.0765871054830228,0.0024218969272592,1000,0.7236410256410256,0.0691832505296153,0.0021877664760763,1000,1000,8,16,adaptive,0.0,none,16.0,0.6433238234346668,26083111
0.6435232401791404,0.0920722433901785,0.0029115799839434,1000,0.7178075628213603,0.0426841441303253,0.0013497911542673,1000,0.0258406532453812,0.1151469922977369,0.0036412676137871,1000,0.4139153476660122,0.0739112575487773,0.0023372791858145,1000,0.7694615384615385,0.0679750647853699,0.0021495602881927,1000,1000,9,18,adaptive,0.0,none,18.0,0.7665278485695861,26083112
0.6956413651243601,0.0785568997820123,0.0024841872923274,1000,0.6955669601787284,0.03813229940884,0.0012058491855142,1000,0.0160317188901121,0.1112267455717149,0.0035172985273466,1000,0.4534460041085087,0.0645284701719475,0.0020405693966959,1000,0.7916410256410259,0.0643094835476946,0.0020336444315984,1000,1000,10,20,adaptive,0.0,none,20.0,0.8366095623847376,26083113
0.3910655237981723,0.1371004339688437,0.0043354963953906,1000,0.8253768662752093,0.0757628324460144,0.0023958311251511,1000,-0.0001461122718481,0.1382471020267991,0.0043717572232236,1000,0.3371209730520949,0.1210877161066138,0.0038291297956475,1000,0.6636696949407476,0.0758217006231437,0.0023976927003654,1000,1000,3,6,adaptive,0.0,mcar10,5.404307692307692,0.527859238254021,26084106
0.4188678017652181,0.1361451173971948,0.0043052866328615,1000,0.804040998568559,0.0643951314513391,0.0020363528561217,1000,0.0110222019016257,0.1282655251864801,0.0040561120486697,1000,0.3327663602892723,0.1118446624782131,0.0035368387756392,1000,0.670389338731444,0.0760213226354479,0.0024040053026652,1000,1000,4,8,adaptive,0.0,mcar10,7.198846153846154,0.4822656465619471,26084107
0.4906409399888741,0.1262383683733135,0.0039920077216303,1000,0.7699925561458308,0.0583558579772947,0.0018453742602155,1000,0.0245631844803689,0.1210912668339511,0.0038292420795049,1000,0.3706176809548135,0.1005294850407003,0.0031790214473243,1000,0.6993036437246963,0.0728889536974149,0.0023049510995038,1000,1000,5,10,adaptive,0.0,mcar10,9.000974358974359,0.6889174151267408,26084108
0.5280922997692212,0.1127745195210912,0.0035662434371776,1000,0.755683723290294,0.0520186629739596,0.0016449745583438,1000,0.0364358146896412,0.1199480993049934,0.0037930919481183,1000,0.3780875933780578,0.0891393611978764,0.0028188341055772,1000,0.7145641025641024,0.0695809752990241,0.0022003436376083,1000,1000,6,12,adaptive,0.0,mcar10,10.800641025641026,0.6433238234346668,26084109
0.5986983258668099,0.103130935814999,0.0032612865440003,1000,0.7227871122936544,0.0485540076223135,0.0015354125361568,1000,0.0217417003806755,0.1157389234524807,0.0036599861204571,1000,0.4228431587059956,0.0848530418589791,0.0026832887866798,1000,0.7471794871794872,0.0690007653276865,0.0021819957873026,1000,1000,7,14,adaptive,0.0,mcar10,12.598692307692309,0.6889174151267408,26084110
